promotion_id,platform_metric_id,module,canonical_table,canonical_field,decision,match_basis,confidence,definition_sha256,reason
promo_ebf96481e9940f51742057ef,96,服务数据/售后数据,,,deferred,,,33d2f6347fc89db7224f65e2e0fbd97449a8c527671dc0c3555cf853014aaf3c,module_outside_current_skill_scope
promo_b9a0430ef491f4ea1118319f,97,服务数据/售后数据,,,deferred,,,3a41d523540eb527eb1d842864ef9a61bd81aef99193cfbb91b718daccf0a398,module_outside_current_skill_scope
promo_b08c90f6ce445624294b6696,102,服务数据/客服数据,,,deferred,,,daa22aaeb3e8f77a7011a5ac6d6fbf0d8a04be30fbfdde8920b9803275614b3b,module_outside_current_skill_scope
promo_c6eb483fdd252bc949b2cb8f,104,服务数据/客服数据,,,deferred,,,1981c93dfe03ebe695502bc2bad43f180f02eb213a25e059bc6034b6b869c875,module_outside_current_skill_scope
promo_865d1155b62c2d18a584f230,105,服务数据/客服数据,,,deferred,,,e97409759af16de723db85f2844ed8d1dc8962e27923bceef01fb8429898aae1,module_outside_current_skill_scope
promo_e1aace8588c526d4de4900c2,106,服务数据/客服数据,,,deferred,,,75a5f988f68678b0f19ad477db57ad65cc72ff878d3117641c3a36f33956fc2d,module_outside_current_skill_scope
promo_0d3bca5b59b7ba719c8ecd3c,107,服务数据/客服数据,,,deferred,,,ad1c61316e15d04f374feab53977b1e8b752307a952032ed0830660382f2c3de,module_outside_current_skill_scope
promo_94925f6759ff0389716f2e6d,108,服务数据/客服数据,,,deferred,,,4c1ba21cde7a36e13fac2443c66ce5bc264a5fad54e4a637c5823a5deb354fc7,module_outside_current_skill_scope
promo_2d7f252e2c0524462d6849bb,109,服务数据/客服数据,,,deferred,,,af7712b2f0de205217b2b0c9f0bb977652cc574b0fa8915ae869324e90fe7fe6,module_outside_current_skill_scope
promo_be9407e5a37fd1f8b0482d1a,143,服务数据/物流数据,,,deferred,,,4cdc08db780134338f3ec441f8733ce5c27116e032a0687fdea889206d34a6df,module_outside_current_skill_scope
promo_9684c036815cd75a44faa04d,144,服务数据/物流数据,,,deferred,,,07d4aef4e75097a095ebe51ae5ae118e66e96854a80e536ce195a9b338b883ae,module_outside_current_skill_scope
promo_fcc826ab45de81f0fa14ba9c,145,服务数据/物流数据,,,deferred,,,1b1942e0e5365600f377fdc70e5f27db5faff526fe94772add6d52b814a44ab4,module_outside_current_skill_scope
promo_c78328b4494181c2d3b6d36c,146,服务数据/物流数据,,,deferred,,,00ecd1442d272bc46262d5aad37fd4a6da2eab6af3f8a35b8f51215bb57695e9,module_outside_current_skill_scope
promo_8f8c5c0704b864d6108d101b,147,服务数据/物流数据,,,deferred,,,6cd5e3db1f35f0fb413c70ff0ea6f4c52683aa2af7131ef29adbecbcc642b498,module_outside_current_skill_scope
promo_62efcadc478e015679a6add9,149,服务数据/物流数据,,,deferred,,,7aa0570b4d8c86d5f4e92bd5ca518f0dd1e64ab7a60faf71139c59d440095be9,module_outside_current_skill_scope
promo_69ef05c6c24c132e267e9141,150,服务数据/物流数据,,,deferred,,,32e85f959aaf0cc5dcfe0f53ac337c36bdbca54ffe2b5cfbdb1b5a0ddd89afc1,module_outside_current_skill_scope
promo_e36be0aa8315a381fd3cc7b3,151,服务数据/物流数据,,,deferred,,,548fad7d7fc65fab9b74aed645c91658385640721998acb27daaa1182d6447d8,module_outside_current_skill_scope
promo_e765fcdf9feb94615885d6d5,152,服务数据/物流数据,,,deferred,,,853e67e59e46bc079aa11bc2d24037cec8ce96fbd2bc9eeda9310c73d3e2d4bb,module_outside_current_skill_scope
promo_40ba0692a47c2787f4a1b7c4,158,服务数据/客服数据,,,deferred,,,2bbf57ed4a7e3de0d0df2776fa64a53a605a1be320cef1de015374300952092a,module_outside_current_skill_scope
promo_cd41f4e1007061714daf501a,185,直播数据/直播总览,,,deferred,,,3e9db98db7eca67b3fd83f6546f9770f12718e28dd5e46e071481b8286676d2f,module_outside_current_skill_scope
promo_681830d5c37ad089b8b766eb,186,直播数据/直播总览,,,deferred,,,3c8ff68760a536cf8c20db31eee8a6fd97930a6f633170b3e298908c1b1276ba,module_outside_current_skill_scope
promo_0323543fddcc7218c678c2ee,187,直播数据/直播总览,,,deferred,,,1189554aea09ab98cd4bfa0a1d4fb793a763d110361c660f02184d701d3d0830,module_outside_current_skill_scope
promo_0b87d12d91e0d9854371788e,190,直播数据/直播总览,,,deferred,,,54daaf8b61fde4e1dcca10280fb2e4dce96f2ccc3a4f10cb05505c6b26cd137a,module_outside_current_skill_scope
promo_8eb0dd49d1ff43d19a6e87d8,192,直播数据/直播总览,,,deferred,,,c8a9280a071af91dd4e8cd5fbb02d790205bd2058a3a93fd793910eef272733c,module_outside_current_skill_scope
promo_76ec60d691df2b07a5590f6d,193,直播数据/直播总览,,,deferred,,,f5ac1c0bb3974c51821ba6e5f02a8a77edfd8c8d3dabe265738825280068ca7c,module_outside_current_skill_scope
promo_c6bb21d478f9c810e8e6a369,325,直播数据/直播总览,,,deferred,,,751a63900677c03ae6f1671b65c952d5dd15b4651ab88f5ba6ad00862d7dd264,module_outside_current_skill_scope
promo_666802bb3213bd76434e90b8,370,数据总览,business_overview_daily,note_gmv,proposed,exact_existing_alias,high,c9ad213338c88772309a05675e437b1c27c883af96d3092ded15d54050e91e7c,exact_table_scoped_alias_requires_human_approval
promo_f4797cdf68f5442b1421a366,370,笔记数据/商品笔记,notes,note_gmv,proposed,exact_existing_alias,high,c9ad213338c88772309a05675e437b1c27c883af96d3092ded15d54050e91e7c,exact_table_scoped_alias_requires_human_approval
promo_87079be19a1323386cec5b24,382,笔记数据/商品笔记,notes,note_paid_buyers,proposed,exact_existing_alias,high,629db506dbbeefbad97e6c33c77496a64387b3ad74468bc35fd1195161c87351,exact_table_scoped_alias_requires_human_approval
promo_3040830de4fc9d798d0dec79,383,笔记数据/商品笔记,notes,note_paid_orders,proposed,exact_existing_alias,high,12c7dbcf4848d4e1c9df2dd09bbdab0d900c7738785905daba0b1ce20f027eb5,exact_table_scoped_alias_requires_human_approval
